bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b35_V14,b35,V14,Superior_Longitudinal_Fasciculus2_R : AreaOfEndRegion1,AreaOfEndRegion1,Superior_Longitudinal_Fasciculus2_R,lgrg,0
b34_V16,b34,V16,Superior_Longitudinal_Fasciculus2_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Superior_Longitudinal_Fasciculus2_L,lgrg,0
b9_V16,b9,V16,Cingulum_Parahippocampal_Parietal_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Cingulum_Parahippocampal_Parietal_L,lgrg,0
b43_V29,b43,V29,Thalamic_Radiation_Posterior_R : nrdi02L,nrdi02L,Thalamic_Radiation_Posterior_R,lgrg,0
b43_V21,b43,V21,Thalamic_Radiation_Posterior_R : nqa,nqa,Thalamic_Radiation_Posterior_R,lgrg,0
b2_V26,b2,V26,Arcuate_Fasciculus_R : gfa,gfa,Arcuate_Fasciculus_R,lgrg,17.247915
b15_V19,b15,V19,Corpus_Callosum_Forceps_Minor : IrregularityofEndRegion2,IrregularityofEndRegion2,Corpus_Callosum_Forceps_Minor,lgrg,0
b17_V3,b17,V3,Corticospinal_Tract_R : Span,Span,Corticospinal_Tract_R,lgrg,0
b32_V27,b32,V27,Superior_Longitudinal_Fasciculus1_L : iso,iso,Superior_Longitudinal_Fasciculus1_L,lgrg,0
b34_V3,b34,V3,Superior_Longitudinal_Fasciculus2_L : Span,Span,Superior_Longitudinal_Fasciculus2_L,lgrg,0
b11_V27,b11,V27,Cingulum_Rarolfactory_L : iso,iso,Cingulum_Rarolfactory_L,lgrg,0
b35_V26,b35,V26,Superior_Longitudinal_Fasciculus2_R : gfa,gfa,Superior_Longitudinal_Fasciculus2_R,lgrg,0
b3_V8,b3,V8,Cingulum_Frontal_Parahippocampal_L : TrunkVolume,TrunkVolume,Cingulum_Frontal_Parahippocampal_L,lgrg,0
b33_V1,b33,V1,Superior_Longitudinal_Fasciculus1_R : NumberOfTracts,NumberOfTracts,Superior_Longitudinal_Fasciculus1_R,lgrg,0
b14_V10,b14,V10,Corpus_Callosum_Forceps_Major : TotalSurfaceArea,TotalSurfaceArea,Corpus_Callosum_Forceps_Major,lgrg,0
b30_V25,b30,V25,Parietal_Aslant_Tract_L : rd,rd,Parietal_Aslant_Tract_L,lgrg,0
b10_V14,b10,V14,Cingulum_Parahippocampal_Parietal_R : AreaOfEndRegion1,AreaOfEndRegion1,Cingulum_Parahippocampal_Parietal_R,lgrg,0
